"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"BZW2",350.376908467143,0.568280018810058,0.129774295375868,4.37898751184999,1.1923196345653e-05,0.00401686209518553
"SLC9A5",35.8253401574229,-1.04446206591738,0.238893834865798,-4.37207626770326,1.23070515197291e-05,0.00407469500574754
"STEAP1",585.100761630575,1.15956185940184,0.267307966344038,4.33792481107515,1.43834340306872e-05,0.00468144209646249
"DUSP2",128.834461156586,1.50466878281971,0.347282621358907,4.33269242478066,1.47296824674668e-05,0.00471423487371275
"SNAI3-AS1",143.803233956507,-1.05741995149271,0.244661940235261,-4.32196340172859,1.54646845200374e-05,0.00480638710526236
"TXNL1",1634.21321514229,0.495120924618551,0.114579462415864,4.32120132333593,1.55182003086115e-05,0.00480638710526236
"MMADHC",1169.77109722345,0.523582805232791,0.121500786424448,4.30929560738578,1.63775339330297e-05,0.00499202831930109
"PRKCA-AS1",51.5793999260481,-1.69379415534409,0.393624585323181,-4.30307002788818,1.68447579499886e-05,0.0050542169830255
"ETS2",686.01827621829,1.11102101639972,0.258921329639345,4.29095979828034,1.77902522486651e-05,0.00517895131165842
"ARHGAP9",461.742650832372,1.60245788973108,0.373775621409432,4.28721884987721,1.80924026458463e-05,0.00517895131165842
"CD59",13314.9577682597,0.554703170135208,0.12949309834675,4.28365045872833,1.83851670387957e-05,0.00517895131165842
"LCN12",31.0476156185391,-1.72957607536326,0.403920592144072,-4.28197053827439,1.85245513302334e-05,0.00517895131165842
"TMEM199",208.352011222127,0.658862030319632,0.153905235100824,4.28095918821739,1.86089486280493e-05,0.00517895131165842
"AC004057.1",633.018384772371,0.653970201475785,0.153002444071856,4.2742467641148,1.91784540033282e-05,0.00526119788894158
"NFKBIA",2432.27579051442,1.06663147979313,0.251255196111671,4.24521162666449,2.18387207749587e-05,0.00590660500058496
"DDX47",669.630834234649,0.572796020665446,0.136010418985265,4.2114128089518,2.53778505187321e-05,0.00656391586230938
"SREBF2",3212.95400852973,-0.621582812300957,0.14764567241079,-4.20996296167453,2.55412556625301e-05,0.00656391586230938
"EXOC4",636.511462135249,-0.513586906155334,0.122153765344189,-4.20442959501263,2.61741393635627e-05,0.00656391586230938
"SNRPE",1428.22010347655,0.479361224078202,0.114036604915342,4.20357326872428,2.62734052426625e-05,0.00656391586230938
"AL591806.3",640.255938070633,1.06135924839956,0.252524820164277,4.202989819809,2.63412439672937e-05,0.00656391586230938
