"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","v","change"
"AURKB",10.3096410270141,-1.58854915240108,0.548304925235647,-2.89720022434298,0.00376509374974796,0.041677099502898,2.42422420552136,"DOWN"
"PSG10P",6.54003990663878,-2.17680613813581,0.751544004743077,-2.89644535036903,0.00377416371565794,0.0417401467677816,2.42317926493825,"DOWN"
"IGDCC3",7.06114542770598,-2.00121003466586,0.69094041291434,-2.8963569032312,0.00377522772478295,0.0417401467677816,2.42305684625103,"DOWN"
"SPOCD1",367.104943679661,-1.34607110334392,0.465638082232622,-2.89080973980874,0.0038425067052492,0.0422394505653736,2.41538536597521,"DOWN"
"AL162171.2",10.3431967728387,-1.54273627718565,0.534250850020216,-2.88766274705463,0.00388115765078418,0.0425926828335789,2.41103871606569,"DOWN"
"P2RX7",26.0528452501279,-1.21020834030203,0.419607086093966,-2.88414657523447,0.00392476029046402,0.0428182337294938,2.4061868631755,"DOWN"
"CYP2G1P",5.66846135112154,-2.40575081796764,0.834655667652652,-2.88232730118932,0.00394749459187066,0.0430046011661822,2.40367845630949,"DOWN"
"TMEM200B",5.93987918403714,-2.28696452236859,0.793507783014697,-2.88209463261967,0.00395041071088643,0.0430062293373752,2.40335774989276,"DOWN"
"ZNF574",23.4086064831964,-1.3490370046397,0.46832241068299,-2.88057324156728,0.00396952712004448,0.0431913296970122,2.40126122658383,"DOWN"
"CELSR3",41.5445950787008,-1.19832643079141,0.416208081755604,-2.87915223975651,0.00398745795691538,0.0433196712290556,2.39930388303844,"DOWN"
"GRAMD2A",8.89325681772487,-1.98003173717755,0.687847074543889,-2.87859294668151,0.00399453551297331,0.0433250205265906,2.39853371344147,"DOWN"
"PDGFRL",11.1517503654323,-1.52931935276509,0.531458651875498,-2.87758859013431,0.00400727374773465,0.043394081484478,2.39715098872035,"DOWN"
"APCDD1L-DT",13.8952389728647,-1.64045769332039,0.570366790703095,-2.87614517545488,0.00402564513912666,0.0435008105620911,2.39516451084615,"DOWN"
"BX470209.1",17.4849202311089,-1.29915207342418,0.45192772731508,-2.87468990040177,0.00404424485828651,0.0436095511526261,2.39316255798128,"DOWN"
"SHANK1",5.76015890477671,-2.40017241795254,0.835352777534608,-2.87324407424156,0.00406280102798211,0.0437209988483781,2.39117444633354,"DOWN"
"RTN1",12.5923559459413,-1.6505741739047,0.575466789236837,-2.86823532613173,0.00412768393974951,0.0441520285325955,2.38429356440356,"DOWN"
"PKN3",16.1540872971804,-1.31731128682499,0.460211025460901,-2.86240705664473,0.0042043655174864,0.0448626657881551,2.37629953447851,"DOWN"
"RFLNB",33.308692566047,-1.09345427195287,0.382415573838667,-2.85933509709565,0.00424530073431437,0.0451110115470514,2.37209153919457,"DOWN"
"SBK1",9.36984917818433,-2.15931096130737,0.756019026954256,-2.85615954668033,0.00428799599982784,0.0454937228766781,2.36774562845836,"DOWN"
"SSTR1",26.4240714214171,-1.77141634345671,0.620266723245841,-2.8558945322537,0.00429157666185769,0.0455007917456628,2.36738312512335,"DOWN"
"THSD4",19.1057314571123,-1.17603147324424,0.41203383360491,-2.85421093446396,0.00431438747675056,0.0456342289101806,2.36508085333227,"DOWN"
"KIFC3",21.470955215028,-1.65104987665195,0.579426802821881,-2.84945375086401,0.00437943724286299,0.0461410136875014,2.35858169269714,"DOWN"
"CDHR4",9.23679865703577,-1.87215431695798,0.657186624259329,-2.84874075011487,0.0043892630636786,0.046160680104585,2.35760838960836,"DOWN"
"PIMREG",22.0124704928398,-1.29169369283019,0.453545866887608,-2.84798911672208,0.00439964291042517,0.0461985114242692,2.35658257086045,"DOWN"
"MUC4",20.4747478946847,-1.29540097530307,0.455020423612666,-2.84690732125417,0.00441462125891108,0.0463319829504823,2.35510654966752,"DOWN"
"ZNF707",16.2153482655988,-1.39118873688076,0.489071991352328,-2.8445479632436,0.00444744894404619,0.0465569527267622,2.35188902884185,"DOWN"
"SYDE2",21.3215578103909,-1.2895936689637,0.45341327581856,-2.84419036173027,0.00445244380709497,0.0465853746821191,2.35140155292538,"DOWN"
"CROCCP3",27.9994321725838,-1.06133240080211,0.373689505257741,-2.84014505590701,0.00450930239451656,0.0469638558254594,2.34589063986168,"DOWN"
"ITGAX",13.7628530731106,-1.4432049806236,0.509886063965308,-2.83044602043055,0.0046483154101992,0.0480930010592458,2.33270441068194,"DOWN"
"MYO7A",21.7446054389019,-1.53378521475079,0.542156536499244,-2.82904495564064,0.00466871403012192,0.0482307899350411,2.33080272682815,"DOWN"
"CBL",216.970732494445,-1.13778324146677,0.402546579110705,-2.82646357094956,0.00470650970742234,0.0485231177403976,2.32730104121996,"DOWN"
"SYT5",13.6911335390896,-1.33656700877987,0.473905251226756,-2.82032538217296,0.00479749759524855,0.0492254120648053,2.31898523428307,"DOWN"
"PLIN4",18.3886687559783,-1.52911446103112,0.542522247309257,-2.81852858314117,0.0048244315398452,0.04946434224044,2.31655385198913,"DOWN"
"TMSB15A",35.3741631742925,-1.31481619374216,0.466617418339591,-2.81776063658489,0.00483598470500731,0.0495330884521901,2.31551508137236,"DOWN"
"RFTN1",32.3004539250052,-1.65364179371706,0.587948029745327,-2.81256456362877,0.00491481557125911,0.0500966680330475,2.30849277445184,"DOWN"
"AC089983.1",53.7519399026435,-1.02412967090901,0.364365405869758,-2.81072147468107,0.00494305557683638,0.0502519391328729,2.3060045065577,"DOWN"
"DENND2C",41.6433847131451,-1.00119084890702,0.356994996523478,-2.804495465362,0.00503953965012271,0.0511056839754876,2.29760913350341,"DOWN"
"SPSB1",113.290031680188,-1.10127734681284,0.393096610957339,-2.80154373280098,0.00508587472754479,0.0514988920627603,2.2936343413302,"DOWN"
"GDPD5",11.3388556678523,-1.54938284314275,0.553850463431469,-2.79747503241814,0.00515037477006081,0.051894851110169,2.28816116811462,"DOWN"
"PLA2G4B",17.4234123394478,-1.32517189138298,0.473833486642312,-2.79670375509642,0.00516268465111966,0.0519660229076596,2.28712440186761,"DOWN"
"NEXN-AS1",24.8511966159212,-1.57106641002652,0.562016781533859,-2.79540836083001,0.0051834194784257,0.0521096145462675,2.28538364360233,"DOWN"
"C16orf96",8.34403081792819,-1.73313161128278,0.620066979401369,-2.79507161138624,0.00518882199324854,0.0521096145462675,2.28493122787434,"DOWN"
"RASA4B",10.7921703784851,-1.57540829642537,0.563673772617947,-2.79489373633349,0.0051916777187751,0.0521096145462675,2.28469227485595,"DOWN"
"SEPT14P2",12.8123844717135,-1.61401150428242,0.577491130810871,-2.79486803895351,0.00519209039914851,0.0521096145462675,2.28465775466886,"DOWN"
"OSBPL7",11.8574565715047,-1.40970289802334,0.505288699372941,-2.78989595408085,0.00527249822954941,0.0527095052948203,2.27798355742006,"DOWN"
"ADAMTS16",21.4289456010355,-1.54237015483414,0.553548397611334,-2.78633297736885,0.00533080817809265,0.0530071699810926,2.2732069446922,"DOWN"
"MFSD4A",7.34771898642528,-1.88411749233238,0.676325482674558,-2.78581473062579,0.00533933789719041,0.0530403648960568,2.27251259417454,"DOWN"
"TBC1D3L",18.1885841229866,-1.21808176679895,0.43759825712796,-2.78356174175247,0.00537656283066099,0.053306494362798,2.26949527465365,"DOWN"
"CNTN1",53.9173740440769,-1.37325481958595,0.4934967935309,-2.78270261851248,0.00539081927258787,0.0533550819108471,2.26834522766561,"DOWN"
"APCDD1L",60.4993355963581,-1.79754616385452,0.646093084430451,-2.78217830707645,0.00539953655126942,0.0533550819108471,2.26764351459626,"DOWN"
"CRYBG2",10.3509202421052,-1.66444409954407,0.598950438724803,-2.77893460281581,0.00545375036516652,0.0537328519584439,2.26330474492609,"DOWN"
"KLHDC8A",96.2911654448538,-1.66055019096504,0.59792540060825,-2.77718623305819,0.00548317519075379,0.053918768935449,2.26096787792426,"DOWN"
"KRT80",7.98866121324277,-1.94561777239441,0.700805579136492,-2.77625896584861,0.00549883905574355,0.054046790411286,2.25972899139747,"DOWN"
"THSD7B",27.0223454546687,-1.12454698499695,0.405523302593414,-2.7730761162311,0.00555291306629364,0.0544734640406358,2.25547912557741,"DOWN"
"FAM118A",84.6769245657572,-1.01572090717859,0.366423303250318,-2.77198774796457,0.00557151335626684,0.0546035030800751,2.25402682403518,"DOWN"
"ADAMTS14",33.6447375157844,-1.38298234764962,0.499574896939404,-2.76831833649433,0.00563463886954198,0.0549323524142275,2.24913391315665,"DOWN"
"TIE1",6.69563409400473,-2.68332289298657,0.972262826856156,-2.75987399586507,0.00578236591981582,0.0557869996248898,2.23789442876214,"DOWN"
"SPATA2L",36.6512243884597,-1.02524429672858,0.371607265586226,-2.75894577871404,0.0057988155521449,0.0559193001380504,2.23666070500582,"DOWN"
"TRIB3",35.7017067016889,-1.17862609973312,0.428916600774826,-2.74791439082554,0.00599756666139326,0.0572416053988369,2.22202491626311,"DOWN"
"B4GALT6",26.3041211113262,-1.13884106419962,0.414662562781674,-2.74642846115634,0.00602480239163223,0.05744788244079,2.22005719300722,"DOWN"
"SLC25A42",20.5101639486093,-1.08777462537757,0.396379950574175,-2.74427256929084,0.00606451604186659,0.0577115285659444,2.21720385081273,"DOWN"
"DIRAS1",16.1207870720029,-1.3641039485702,0.497120949941637,-2.74400817090962,0.00606940271859336,0.0577115285659444,2.21685404513265,"DOWN"
"WDCP",53.6803203105871,-1.05796796227406,0.385839476151221,-2.74198994055085,0.00610682117955189,0.0579864237839049,2.21418479686526,"DOWN"
"MMP25-AS1",25.951627459924,-1.0401870140762,0.379405199557584,-2.74162561633087,0.00611359793148916,0.058023808700441,2.2137031265974,"DOWN"
"SLC4A1",8.76663112901833,-1.93638625318112,0.706359261382821,-2.74136173905373,0.00611851051024891,0.0580342814751912,2.21335428960464,"DOWN"
"AC012065.4",21.5237542455848,-1.11203332253436,0.405664840405242,-2.74126128708488,0.00612038154933136,0.0580342814751912,2.21322150275575,"DOWN"
"UNC13A",15.6449315549336,-1.44734289447642,0.528803670636873,-2.73701370630292,0.0061999709793276,0.0585986156297781,2.20761034333197,"DOWN"
"PDGFRB",13.2846276605402,-1.61894562973427,0.592879814810077,-2.73064723961446,0.00632100903038917,0.0593855165641252,2.19921358922525,"DOWN"
"ESR2",27.5323198636114,-1.21882155962762,0.447117980038803,-2.72595067530463,0.0064116579021777,0.0599889274602102,2.19302965774022,"DOWN"
"RYR1",26.7012023065751,-1.25381470650584,0.460099790910993,-2.72509297172967,0.00642833827578554,0.0600876054799587,2.19190127760852,"DOWN"
"IL15",26.7253975891292,-1.08554395095767,0.398549771534819,-2.72373497236552,0.00645482811504274,0.0601998894124981,2.1901153180269,"DOWN"
"MYH14",13.7761708104548,-1.69423551981323,0.622497948589951,-2.72167245474612,0.00649524851831931,0.0604940329185673,2.18740422749012,"DOWN"
"AC131649.2",28.0147693663292,-1.15748117134915,0.425519542486161,-2.72015984174638,0.00652503667276321,0.0606884840105796,2.18541704311092,"DOWN"
"DIXDC1",115.415019894505,-1.09067588555461,0.401627676111059,-2.71563926100803,0.00661479500367435,0.0612723123776435,2.17948361030529,"DOWN"
"REEP1",47.1243528178149,-1.12661358882534,0.415064634711559,-2.7143087958054,0.00664142267808323,0.0614076158388927,2.17773887920737,"DOWN"
"LINC01226",11.9741385252832,-1.60281784977138,0.590811201206205,-2.71291039590829,0.0066695138280191,0.0616115938344224,2.17590582268074,"DOWN"
"AC139493.2",21.4761030394137,-1.29326048530506,0.477089349867613,-2.71073015078606,0.00671352387283842,0.0619062034375362,2.17304946242242,"DOWN"
"NEURL2",14.4058979426399,-1.30611233233634,0.482022348021014,-2.70965098962467,0.00673540406604393,0.0620239958024073,2.17163634524325,"DOWN"
"EPHB2",13.9656381715233,-1.27705167827912,0.471377702429064,-2.70918983163251,0.00674477366152147,0.0620822995493377,2.17103261963204,"DOWN"
"PHF13",83.8222534285854,-1.02132697499686,0.377143081662643,-2.70806233669811,0.00676773093766804,0.0622655623504316,2.16955691572093,"DOWN"
"AP001011.1",11.6695808045666,-1.32894620839095,0.491173658191792,-2.70565447927996,0.00681699335913309,0.0626623672067142,2.16640712907522,"DOWN"
"AL139393.2",16.2601283912376,-1.38754944745396,0.513649663909273,-2.70135375324424,0.00690578436762233,0.0632608770316258,2.16078698657356,"DOWN"
"C1orf141",617.415520714864,-1.11169781931284,0.411721352826789,-2.70012184619565,0.00693140852124598,0.0633719918224342,2.15917850408258,"DOWN"
"AC244453.1",7.69784608034663,-2.07063161185833,0.767486158662272,-2.6979400064588,0.00697700131348907,0.0636748748726377,2.15633119526064,"DOWN"
"PREX1",6.78315780069729,-2.28166553709787,0.846800947496649,-2.69445321694907,0.0070504223444086,0.0641729755838064,2.15178486650474,"DOWN"
"CBR3-AS1",29.223029797575,-1.05300239846645,0.391277113143599,-2.69119343578882,0.00711968999709291,0.0646881927081354,2.14753891584108,"DOWN"
"SLC25A48",5.5918199782504,-2.44038806706219,0.907654477817115,-2.68867518059434,0.00717361846831037,0.0650335935143985,2.14426172516684,"DOWN"
"IFIT1",112.800855859296,-3.34760285976868,1.24525408862223,-2.68828899286935,0.00718192103167417,0.0650644811256399,2.14375937443923,"DOWN"
"PLEKHA6",7.42914514592455,-1.81852831270903,0.676813061829913,-2.68689896112856,0.00721187645288021,0.0651916132119834,2.14195172181264,"DOWN"
"ZNF749",60.5868182931321,-1.09330015052076,0.406910914373551,-2.6868292589397,0.00721338149516954,0.0651916132119834,2.14186109860631,"DOWN"
"MUC16",89.9598159429633,-1.2492993517742,0.465072092513377,-2.68624880289558,0.00722592592626716,0.0652761142251738,2.14110649474396,"DOWN"
"LOXHD1",11.0595441005034,-1.52310452594033,0.567479745039464,-2.68398042265703,0.00727513662438769,0.0655661675112573,2.13815884637497,"DOWN"
"AC009812.1",11.9146476350449,-1.40852980429639,0.52483952119574,-2.68373426049803,0.00728049496344537,0.0655661675112573,2.13783909423286,"DOWN"
"OAS1",54.8227302210811,-1.22156229732125,0.455345747397546,-2.6827137495033,0.00730274674648316,0.0656564894930439,2.13651376008866,"DOWN"
"SMLR1",12.7171109513994,-1.44045652322709,0.536975297881204,-2.68253777950464,0.00730658985549486,0.0656564894930439,2.13628527044247,"DOWN"
"UBE2FP1",33.4088400689267,-1.22757335445668,0.457780328647237,-2.68157733663266,0.007327597513036,0.065787402276528,2.13503839341608,"DOWN"
"LINC02595",5.76074816549318,-2.25627214629315,0.842489993262678,-2.67809963837715,0.00740411892035908,0.0661554590729406,2.13052661449491,"DOWN"
